,average_stars,compliment_cool,compliment_cute,compliment_funny,compliment_hot,compliment_list,compliment_more,compliment_note,compliment_photos,compliment_plain,compliment_profile,compliment_writer,cool,elite,fans,funny,name,review_count,useful,user_id,yelping_since
61,3.77,1566,219,1566,1180,90,128,1118,326,4507,93,391,4057,"2009,2010,2011,2012,2013,2014",418,4751,Kat,993,7245,0ae1feeebd9b233b4659aa7f25b7db4d,2009-02-09 16:14:29
62,4.09,2873,54,2873,2084,49,150,1085,1348,3047,119,1185,12292,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",539,8484,Rodney,1230,14356,f5311b6e98dd6fcd7e546fb4817ecf4e,2008-11-17 06:15:22
63,3.81,417,4,417,157,2,48,292,150,442,24,151,4171,"2013,2014,2015,2016,2017,2018",74,2515,Mark,679,4906,c8aee7c4ddc5242e1e04b9108b028885,2012-10-08 21:13:09
64,4.0,6,0,6,5,0,0,9,0,6,0,1,105,,22,178,Jay,46,225,b6b3b81676b28416286bc95232d8f3ee,2009-01-24 18:40:35
65,4.35,1,1,1,1,0,2,0,0,0,0,0,20,"2017,2018",5,16,Tessa,48,25,fdc6d6ce0d202faaf9837b0842f4c8e8,2013-02-16 21:21:13
66,3.32,7,1,7,2,0,3,2,0,16,3,5,153,,28,199,Karney,359,442,f4a1e3c63fff34a5338348372c85d4b9,2007-11-05 03:13:47
67,3.85,10,3,10,5,0,4,12,0,14,0,9,142,,13,148,Sara,276,363,eccdc5ae6756c94ca7536966d1ddf3d0,2008-08-03 21:44:49
68,3.93,1188,176,1188,913,14,64,422,359,1056,55,294,10566,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",434,7397,Cindy,2022,12966,5221ae2a9af564220036992630dc2e51,2009-07-02 15:46:17
69,3.46,44,1,44,27,1,12,37,3,53,1,59,561,"2012,2013,2014,2015,2016,2017,2018",55,609,Virginia,805,1880,0f2686d8371aaddca228b41e7d86b4a8,2009-04-14 19:35:37
70,3.96,127,0,127,49,1,9,52,12,134,11,45,1088,"2012,2013,2014,2015,2016",59,622,Floyd,435,1917,74c2d8eaa99b0f066754dd5e6dd24bc3,2008-07-03 04:26:50
71,3.66,0,0,0,0,0,0,1,0,1,0,0,3,,1,3,Lisa,39,19,4bff90082cd822a7ed6ca7155eab8b16,2012-03-30 15:18:33
72,3.77,17,1,17,6,0,2,12,5,8,1,14,134,"2010,2011,2012,2013,2015,2016,2017,2018",10,55,Ana,192,283,07034365d4d38aca1becba664fad765b,2010-05-06 18:47:31
73,3.58,1,0,1,0,0,0,0,0,0,0,0,6,2018,2,3,Menka,48,32,80a5baf62b51a6e2eab5c96e7c3fa2ec,2011-08-16 01:33:30
74,3.7,0,0,0,0,0,0,0,0,0,0,0,6,,0,4,Geoffrey,23,17,fe2c706c97bc34c102c012a75c943fbd,2014-05-18 05:14:48
75,3.67,100,2,100,47,0,9,31,13,100,10,33,516,"2011,2012,2013,2014,2015,2016",21,494,Reyz,768,902,ce4f47de5a7c2ab4e4a446d6444567cd,2010-12-15 09:57:00
76,3.8,773,111,773,831,15,82,255,325,441,63,577,7287,"2010,2011,2012,2013,2014,2015,2016,2017,2018",580,5032,Rho,1077,9393,1ee34d8c8ab951a69b69d49826d0625e,2008-10-02 04:39:08
77,3.12,207,22,207,108,9,45,251,27,466,9,65,1294,"2009,2010,2011,2012,2013,2014,2015,2016",64,1285,Sal,811,2290,c1a161d7ddf7b1c259ddddfc72222bd5,2009-01-26 02:32:47
78,3.37,0,0,0,0,0,0,0,0,0,0,0,2,,0,4,Rome,19,12,4cd8bcca1048980e633093da05ee002a,2013-10-10 03:09:39
79,4.04,19,1,19,25,0,1,8,2,22,2,8,196,"2011,2012,2013,2014,2015,2016",14,149,Ruben,192,462,2d0464fedcf94731b0e0628cdf4cbfc0,2008-07-31 01:24:32
80,3.39,20,3,20,24,0,5,11,1,21,1,15,124,"2011,2012,2013,2014,2015",24,90,Jaime,191,284,08e1d6a860110c18fb926d036039862f,2010-09-20 20:44:15
81,4.1,0,0,0,0,0,0,0,0,0,0,0,7,,0,2,Katie,28,13,ce25f1dabd71e7e8f8b47f95b52d2865,2012-08-28 01:01:41
82,4.58,10,0,10,0,0,0,4,1,12,1,6,66,,7,17,Emily,52,90,828d63a72e765a787eea72f978fe1f7b,2009-04-30 21:24:29
83,3.8200000000000003,90,6,90,124,5,6,33,4,75,2,34,492,"2009,2010,2011,2012",20,459,Ameerah,143,607,c1e375545ff8d233e912f68ddc878325,2008-06-30 19:18:47
84,3.63,68,3,68,48,1,6,35,2,65,2,16,704,"2007,2008,2009,2010,2011",30,622,Jaime,821,1228,e5238b89d993e3fa85d3721485e6838b,2007-08-29 16:11:00
85,3.95,10,0,10,3,2,0,5,0,6,0,5,70,"2012,2013,2014",5,47,Mark,222,293,1a755f444dccbdd69730fe400926f222,2011-10-09 13:49:58
86,4.39,9,0,9,2,0,0,3,0,0,0,5,73,"2015,2016,2017,2018",10,19,Hailley,133,155,e68e94fd049e0c2c86f8b7dea5037cbf,2015-01-17 17:59:11
87,3.5700000000000003,65,3,65,41,5,10,37,11,79,10,58,1696,"2011,2012,2013,2014,2015,2016,2017,2018",149,1245,Danielle,2615,3966,5f5c38fea69d3ec7aed8c004df164d1f,2010-03-13 05:30:20
88,4.06,14,4,14,11,0,1,5,0,7,1,3,66,2012,4,31,Nancy,30,105,299ae091e061b5f424c2d3a960e2e7f5,2008-02-27 00:42:03
89,4.26,3,0,3,1,0,0,0,0,1,0,0,22,,5,15,William,32,74,b1883b07c23b169dec830959c3f9700a,2015-04-14 20:35:58
90,4.25,1163,11,1163,351,28,89,1074,278,3530,34,480,10703,"2012,2013,2014,2015,2016,2017,2018",720,7965,Brett,2192,17037,e29662b76e531abca474a818d60c79eb,2012-01-11 17:19:55
91,3.91,44,1,44,11,0,1,37,10,83,2,9,160,,41,85,Wendy,586,500,ac8329c897234846c1a5657a46ff615e,2011-01-19 03:00:14
92,4.09,6,0,6,3,0,4,1,0,5,1,10,68,"2012,2013",6,35,Mara,87,143,681b0f80a368dad442a2f63a3c5b1bd0,2010-08-01 02:33:24
93,3.7199999999999998,0,0,0,0,0,0,1,0,3,0,0,9,,1,11,Jen,71,79,837dac5d3f25e941263794d39a6c7ac9,2011-06-20 08:50:46
94,3.9,701,4,701,420,6,57,101,119,560,92,270,5672,"2015,2016,2017,2018",78,4436,Michael,245,6289,9293de79b952fb58d4f9fa5e576f974e,2011-12-06 19:11:54
95,3.76,3,0,3,2,0,1,5,0,9,0,1,20,,6,4,Margaret,45,50,ddcc759f5f60393428c315e42721c52c,2011-11-07 05:08:29
96,3.63,47,1,47,24,0,5,32,8,63,1,6,147,"2015,2016,2017,2018",13,69,Janice,86,211,30f111cac505b408623820d043865b1a,2014-01-06 04:49:05
97,3.7199999999999998,124,1,124,72,2,10,21,6,99,7,48,517,"2012,2013,2014,2015,2016,2017,2018",43,409,Audrey,526,1028,b2d9d6b1ef9df29ac500b6ebbbef871f,2011-07-14 19:49:52
98,3.84,488,24,488,309,7,46,321,17,607,22,258,5463,"2012,2013,2014,2015,2016,2017,2018",150,4585,Angela,1800,9257,ffb9eec7f2fa3e300c69d55b470b9b40,2011-04-11 19:27:40
99,4.16,759,12,759,484,8,28,253,236,420,24,389,7420,"2012,2013,2014,2015,2016,2017,2018",167,4396,Isabella,952,8103,853032a59a99ff9a66b8ecf2fdb78fc5,2011-04-16 23:21:01
100,3.89,5,0,5,0,0,1,7,17,7,0,3,215,"2017,2018",21,127,Melody,337,581,356638928087978fbdadf2569dcee490,2012-12-13 03:24:06
101,3.69,1,0,1,0,0,2,3,0,0,0,1,10,,1,3,Renay,29,46,6207d7777b042d6acf62e324ae4d4dcf,2011-05-14 12:58:59
102,3.63,0,0,0,0,0,0,1,1,2,1,1,7,"2016,2017,2018",2,9,Christen,76,89,dcdc8822c3c3e12e9dd09660ccec16b0,2012-12-07 19:37:20
103,3.31,26,0,26,6,1,4,24,0,49,2,45,889,,52,942,D.,1524,2711,5d5b1ccf655e4f9fc3b9cac85155d8fe,2013-09-14 04:42:55
104,4.54,1,0,1,2,0,0,2,1,2,0,0,58,,11,34,Jeanette,40,92,611d36252b24b2dcb1826ede8dbcebde,2015-06-30 03:16:35
105,3.1,0,0,0,0,0,0,1,0,1,0,0,8,,3,9,Michael,47,27,7fe6a86b9c316d73db605ffb816b4067,2013-01-20 00:35:16
106,3.16,20,0,20,13,0,2,3,6,20,1,11,166,,17,140,Benene,181,412,17845c8855379353148c134f7a89e68a,2012-08-05 00:26:30
107,3.98,14,0,14,5,0,3,2,0,6,0,3,132,"2012,2013,2015,2016,2017,2018",9,134,Jasten,212,217,b763144b514f066a71616e58bf972c71,2010-04-30 12:59:45
108,3.79,34,5,34,28,0,4,22,2,18,1,22,296,"2014,2015,2016",16,244,Chelsea Ellen,252,554,49d5bb199cc2672f11cf615429d33235,2011-06-30 17:05:54
109,4.01,1,0,1,0,0,0,2,0,2,0,0,24,,2,11,Age,81,63,88aad8009b1a7663f382c0570c72094a,2014-07-30 03:02:32
110,3.99,199,20,199,198,12,24,73,66,206,15,152,3345,"2012,2013,2014,2015,2016,2017,2018",225,2728,Christine,1231,4884,13329ca3d0c3a2b1fd3343bb8bd66dbd,2012-01-01 09:08:12
111,3.84,1,1,1,0,0,0,3,0,2,0,0,29,,2,9,Daniella,83,81,f64eabe86c9610166f132aa40fa9f3b7,2014-01-24 06:01:45
112,3.73,91,5,91,20,1,7,50,29,59,7,55,2335,"2011,2012,2013,2014,2015,2016,2017,2018",157,1591,Rachel,1596,3443,eeb275aec6e2eeef127e601c2f925187,2008-04-05 06:27:42
113,3.65,354,32,354,241,0,41,99,68,190,19,161,4235,"2011,2012,2013,2014,2015,2016,2017,2018",319,2943,Soo,1023,6068,aadf91a5cb7bef104463e3810c44dbef,2011-07-21 23:03:32
114,3.8200000000000003,3,0,3,1,0,0,0,0,3,0,5,25,"2017,2018",8,10,Philemon,86,111,0e8606adbf929b7a0ea584481a18eee3,2015-06-27 12:18:55
115,3.74,6,0,6,14,0,2,10,1,2,0,7,79,"2015,2016",8,52,Emina,130,224,5bacce9d179596eba22d3b8637836fd0,2010-07-08 02:11:48
116,4.26,0,0,0,0,0,0,2,1,0,0,3,15,"2016,2017",5,12,Sherry,50,46,6efb5ed8eda037ddddd6451c60aa1435,2013-12-01 17:14:53
117,3.7800000000000002,853,52,853,604,17,82,305,613,473,55,392,16522,"2010,2011,2012,2013,2014,2015,2016,2017,2018",647,11913,Lisa,2074,20526,99e677cd2da0e0e1bce1bb3c3c26951d,2010-03-13 18:28:48
118,4.38,0,0,0,0,0,0,0,0,0,0,0,9,,1,4,Kelly,22,24,7d9a1696ce9efcdb46d199cfde469d25,2014-01-09 23:57:32
119,4.29,196,11,196,77,0,13,121,35,384,6,77,493,"2012,2013,2014",36,215,Briana,152,714,002bfd30499b9eb1add3b0445e0df3a2,2011-12-22 04:21:53
120,3.77,6,0,6,1,0,6,2,0,5,0,3,55,"2016,2017,2018",7,40,Anthony,90,86,d5df1df17979e2942d100ad9e7ed6101,2015-10-09 03:36:59
121,3.56,597,11,597,370,12,30,170,252,530,30,236,7076,"2010,2011,2012,2013,2014,2015,2016,2017,2018",212,4275,Elizabeth,1374,9489,ea42ddf42723bfc176efaaa8aa898927,2008-07-16 07:22:27
122,3.48,306,12,306,211,5,21,95,101,295,16,95,1901,"2012,2013,2014",92,1450,Stacy,797,2636,473e0aeb4fc35f08ffc3a2e2d1ea95af,2009-04-08 05:32:56
123,3.9699999999999998,1775,23,1775,773,47,104,644,247,1090,139,324,6926,"2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",140,6207,Jonathan,1209,7615,574dd5db3e58de977497c333362c1b3b,2008-08-20 20:53:30
124,3.95,236,26,236,131,3,17,163,50,336,13,126,2021,"2012,2013,2014,2015,2016,2017",78,1368,Courtney,841,3377,893357b3890a92677d0bd2048c2111b3,2011-01-02 04:32:39
125,3.74,17,4,17,14,1,3,21,1,15,1,11,273,"2009,2010,2011",8,296,Jeffrey,262,451,e54f3d233fc2cb66d1d692c23b9b04f8,2007-12-03 18:57:27
126,4.63,160,19,160,233,3,8,62,57,72,14,103,1368,,159,665,Lisa,247,1476,76bd08ed2e482b9ebba3a54ebb93c056,2010-10-01 04:55:19
127,4.2,138,2,138,63,1,12,79,23,112,3,35,981,,87,754,Dallas,339,1382,4aa2399fec91acb4e0aae340334f2e7e,2010-11-07 16:08:46
128,4.05,65,1,65,14,0,6,22,2,66,3,8,300,,9,231,Eli,353,570,b4f11fd4088ef5dfe974e14b14ba6c07,2010-10-19 20:21:08
129,4.1,0,0,0,0,0,0,0,1,1,0,0,13,,0,10,Eli,29,25,ee6d0f19f25079f30300b5b689e78b23,2014-08-14 04:50:55
130,2.93,55,4,55,51,7,7,40,32,60,4,40,1016,"2009,2010,2011",66,1405,Ocee,1201,2427,27c0aa0054888df7bf6bc89deab87508,2008-04-23 06:54:20
131,4.44,11,0,11,4,0,1,4,2,8,2,1,123,"2017,2018",14,77,Annie,86,218,0f189ad03dab43669a1a0a1b617a9f0a,2014-03-23 16:07:09
132,4.13,0,0,0,0,0,1,2,0,0,0,0,51,,4,32,Matthew,240,139,5da3550914ae192ac401308bf55586fc,2011-12-11 22:56:37
133,3.7800000000000002,99,3,99,56,5,17,70,11,99,3,50,1452,"2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018",92,1801,David,1300,2356,3822b4fba907588ab36946f9c4966170,2005-09-21 20:06:22
134,4.43,0,0,0,0,0,0,0,0,0,0,0,1,,0,2,Shane,20,8,5bc97154aa260e81a6c966330d34a28d,2015-11-07 22:57:41
135,4.61,0,0,0,0,1,0,1,0,0,0,0,14,,3,7,K.C.,54,34,376a924896163912346d663ccc5074de,2012-11-12 19:22:13
136,3.8,75,3,75,36,0,4,23,7,66,2,54,345,"2013,2015,2016,2017,2018",12,214,Samantha,136,654,f8b79faa50b1e994d1f4320d073ce704,2010-11-25 22:01:04
137,3.91,7,0,7,6,2,5,13,1,17,1,15,275,"2010,2011,2012",33,251,Surai,577,1076,80657886ee08182e171c541ab79d14a2,2007-08-04 00:52:05
138,4.05,7,3,7,12,0,0,1,15,9,2,1,151,"2016,2017,2018",30,50,Sasha,105,247,4e8b4c0a946714fc3729284357703102,2015-01-18 04:40:16
139,3.49,151,0,151,53,5,10,80,2,131,5,68,2349,"2011,2012,2013,2014,2015,2016,2017,2018",88,1764,Wes,996,4145,62ae25a3e72de91c6be6f6e068f382bb,2009-08-21 21:49:34
140,4.71,1,0,1,0,0,1,2,0,0,0,1,46,,2,25,Blaine,77,98,e86fa211420fcfbfc918101d45e00cfa,2010-05-25 14:16:24
141,4.21,51,6,51,14,0,4,21,6,34,5,15,679,"2012,2013,2014,2015,2016,2017,2018",40,627,Anthony,773,1223,5931e7f80651e0d736a65a906450f2da,2008-11-23 21:16:34
142,3.91,141,0,141,124,9,12,65,19,120,6,74,662,"2010,2011,2012,2013,2014,2015",61,512,Jen,268,1128,18fd8416d55f8cbad7078907b1864ffc,2009-12-21 04:56:34
143,4.07,70,2,70,75,3,2,23,5,32,1,29,443,"2010,2011,2012,2013,2014,2015,2016,2017",25,450,Steph,270,760,3ca66248a35e83aac280d7a8fb173b45,2009-08-04 22:27:10
144,3.64,1,0,1,0,0,1,1,0,0,0,1,11,,2,5,Christina,22,24,21199961459a127047a96a6b758a1acd,2011-08-20 15:59:10
145,4.13,0,0,0,1,0,0,0,1,1,0,1,6,,10,14,Maria,45,28,55d72a8af888aeb0ab3c717b488c8b7b,2014-08-10 17:51:54
146,3.51,156,1,156,46,0,11,65,3,172,8,36,1811,"2014,2015,2016,2017,2018",79,1301,Avner,556,3284,3e120bed0ef9f4e5ca6293dfaae074b4,2011-02-23 17:53:56
147,4.5,0,0,0,0,0,0,0,0,0,0,0,2,,1,2,Dale,24,27,a2ca236fdee50a4892418aa33e3ee3ac,2014-04-21 21:16:55
148,3.93,0,0,0,0,0,0,0,0,0,0,0,15,,1,4,Erin,37,40,2c2cbef35c0879b0510679a63bf9c44a,2011-06-23 17:06:19
149,3.83,8,0,8,8,0,4,16,2,13,0,6,168,"2015,2016,2017,2018",29,106,Dee,304,469,c4bb2d37b059710f62c43bd9d04810ed,2010-12-31 14:47:16
